id,nom,type,difficulte,dureeMinutes,equipement,objectif,niveauRecommande,consigneSecurite,muscles_cibles,intensite_score,calories_estimees,text_features,type_encoded,difficulte_encoded
11,Mobilité des hanches,MOBILITE,DEBUTANT,10,Aucun,hanches mobilité prévention blessures,DEBUTANT,Mouvements contrôlés pas de rebonds,hanches fléchisseurs adducteurs,2,25,MOBILITE DEBUTANT hanches mobilité prévention blessures hanches fléchisseurs adducteurs DEBUTANT Aucun,2,1
12,Foam rolling récupération,MOBILITE,DEBUTANT,12,Foam roller,récupération massage détente musculaire,DEBUTANT,Éviter les articulations rouler lentement,fascias muscles tendus,2,20,MOBILITE DEBUTANT récupération massage détente musculaire fascias muscles tendus DEBUTANT Foam roller,2,1
13,Dribble slalom,TECHNIQUE,INTERMEDIAIRE,15,Ballon plots,dribble technique contrôle balle agilité,INTERMEDIAIRE,Surface plane chaussures adaptées,jambes coordination pieds,5,75,TECHNIQUE INTERMEDIAIRE dribble technique contrôle balle agilité jambes coordination pieds INTERMEDIAIRE Ballon plots,3,2
14,Passes courtes en mouvement,TECHNIQUE,DEBUTANT,12,Ballon,passes précision technique collective,DEBUTANT,Communication entre partenaires,jambes coordination vision,4,60,TECHNIQUE DEBUTANT passes précision technique collective jambes coordination vision DEBUTANT Ballon,3,1
15,Tirs cadrés,TECHNIQUE,INTERMEDIAIRE,15,Ballon but,tir précision finition technique,INTERMEDIAIRE,Échauffement des jambes avant les frappes,quadriceps mollets coordination,6,80,TECHNIQUE INTERMEDIAIRE tir précision finition technique quadriceps mollets coordination INTERMEDIAIRE Ballon but,3,2
16,Jeu réduit 3v3,TECHNIQUE,INTERMEDIAIRE,20,Ballon chasubles,tactique décision collective jeu,INTERMEDIAIRE,Respect des règles pas de tacles dangereux,corps complet tactique,7,140,TECHNIQUE INTERMEDIAIRE tactique décision collective jeu corps complet tactique INTERMEDIAIRE Ballon chasubles,3,2
17,Conduite de balle en vitesse,TECHNIQUE,AVANCE,12,Ballon,vitesse technique contrôle conduite,AVANCE,Terrain dégagé attention aux obstacles,jambes coordination vitesse,8,95,TECHNIQUE AVANCE vitesse technique contrôle conduite jambes coordination vitesse AVANCE Ballon,3,0
18,Fentes marchées,FORCE,DEBUTANT,10,Aucun,jambes équilibre renforcement stabilité,DEBUTANT,Genou ne dépasse pas les orteils dos droit,quadriceps fessiers ischio-jambiers,5,70,FORCE DEBUTANT jambes équilibre renforcement stabilité quadriceps fessiers ischio-jambiers DEBUTANT Aucun,1,1
19,Planche latérale,FORCE,INTERMEDIAIRE,8,Tapis,obliques stabilité core latéral,INTERMEDIAIRE,Aligner tête épaules hanches pieds,obliques abdominaux épaules,6,50,FORCE INTERMEDIAIRE obliques stabilité core latéral obliques abdominaux épaules INTERMEDIAIRE Tapis,1,2
20,Montées de genoux rapides,CARDIO,INTERMEDIAIRE,8,Aucun,cardio vitesse coordination jambes,INTERMEDIAIRE,Garder le buste droit monter les genoux haut,quadriceps abdominaux cardio,7,100,CARDIO INTERMEDIAIRE cardio vitesse coordination jambes quadriceps abdominaux cardio INTERMEDIAIRE Aucun,0,2
21,Shadow boxing,CARDIO,INTERMEDIAIRE,10,Aucun,cardio coordination réflexes vitesse,INTERMEDIAIRE,Ne pas hyperextendre les coudes,épaules bras cardio,7,110,CARDIO INTERMEDIAIRE cardio coordination réflexes vitesse épaules bras cardio INTERMEDIAIRE Aucun,0,2
22,Étirements ischio-jambiers,MOBILITE,DEBUTANT,8,Aucun,souplesse ischio-jambiers prévention,DEBUTANT,Ne pas rebondir maintenir la position,ischio-jambiers mollets,2,20,MOBILITE DEBUTANT souplesse ischio-jambiers prévention ischio-jambiers mollets DEBUTANT Aucun,2,1
23,Rotation thoracique,MOBILITE,DEBUTANT,8,Aucun,mobilité thoracique dos rotation,DEBUTANT,Mouvement lent et contrôlé,dos thorax épaules,2,18,MOBILITE DEBUTANT mobilité thoracique dos rotation dos thorax épaules DEBUTANT Aucun,2,1
24,Jonglage ballon,TECHNIQUE,DEBUTANT,10,Ballon,contrôle balle toucher technique,DEBUTANT,Commencer avec peu de touches,pieds coordination équilibre,3,40,TECHNIQUE DEBUTANT contrôle balle toucher technique pieds coordination équilibre DEBUTANT Ballon,3,1
25,Exercice de pressing,TECHNIQUE,AVANCE,15,Ballon chasubles,pressing collectif récupération balle,AVANCE,Communication coordination équipe,jambes cardio tactique,8,130,TECHNIQUE AVANCE pressing collectif récupération balle jambes cardio tactique AVANCE Ballon chasubles,3,0
26,Pompes diamant,FORCE,AVANCE,10,Aucun,triceps force poussée,AVANCE,Ne pas écarter les coudes garder le corps gainé,triceps pectoraux épaules,8,90,FORCE AVANCE triceps force poussée triceps pectoraux épaules AVANCE Aucun,1,0
27,Squat bulgare,FORCE,AVANCE,12,Banc,jambes unilatéral équilibre force,AVANCE,Genou avant ne dépasse pas les orteils,quadriceps fessiers stabilisateurs,8,100,FORCE AVANCE jambes unilatéral équilibre force quadriceps fessiers stabilisateurs AVANCE Banc,1,0
28,HIIT tabata,CARDIO,AVANCE,20,Aucun,cardio intensif brûlage calories endurance,AVANCE,Respecter les temps de repos ne pas dépasser ses limites,corps complet cardio,10,220,CARDIO AVANCE cardio intensif brûlage calories endurance corps complet cardio AVANCE Aucun,0,0
29,Vélo stationnaire intervalles,CARDIO,INTERMEDIAIRE,20,Vélo,cardio jambes endurance intervalles,INTERMEDIAIRE,Ajuster la résistance à son niveau,quadriceps mollets cardio,6,160,CARDIO INTERMEDIAIRE cardio jambes endurance intervalles quadriceps mollets cardio INTERMEDIAIRE Vélo,0,2
30,Étirements quadriceps,MOBILITE,DEBUTANT,6,Aucun,souplesse quadriceps récupération,DEBUTANT,Tenir un support si besoin d équilibre,quadriceps fléchisseurs,2,15,MOBILITE DEBUTANT souplesse quadriceps récupération quadriceps fléchisseurs DEBUTANT Aucun,2,1
31,Pont fessier,FORCE,DEBUTANT,8,Tapis,fessiers renforcement stabilité bassin,DEBUTANT,Serrer les fessiers en haut du mouvement,fessiers ischio-jambiers lombaires,4,50,FORCE DEBUTANT fessiers renforcement stabilité bassin fessiers ischio-jambiers lombaires DEBUTANT Tapis,1,1
32,Course en côte,CARDIO,AVANCE,15,Aucun,puissance jambes cardio montée,AVANCE,Échauffement progressif attention aux chevilles,mollets quadriceps cardio,9,170,CARDIO AVANCE puissance jambes cardio montée mollets quadriceps cardio AVANCE Aucun,0,0
33,Exercice de centres,TECHNIQUE,INTERMEDIAIRE,12,Ballon,centres précision ailes technique,INTERMEDIAIRE,Varier les trajectoires et les pieds,jambes coordination vision,5,70,TECHNIQUE INTERMEDIAIRE centres précision ailes technique jambes coordination vision INTERMEDIAIRE Ballon,3,2
34,Contrôle orienté,TECHNIQUE,INTERMEDIAIRE,10,Ballon,premier toucher orientation technique,INTERMEDIAIRE,Regarder avant de recevoir le ballon,pieds coordination vision,4,50,TECHNIQUE INTERMEDIAIRE premier toucher orientation technique pieds coordination vision INTERMEDIAIRE Ballon,3,2
35,Dips sur banc,FORCE,INTERMEDIAIRE,10,Banc,triceps épaules poussée,INTERMEDIAIRE,Ne pas descendre trop bas protéger les épaules,triceps épaules pectoraux,6,75,FORCE INTERMEDIAIRE triceps épaules poussée triceps épaules pectoraux INTERMEDIAIRE Banc,1,2
36,Pompes inclinées,FORCE,DEBUTANT,8,Banc,pectoraux force poussée débutant,DEBUTANT,Garder le corps aligné descendre lentement,pectoraux triceps épaules,4,55,FORCE DEBUTANT pectoraux force poussée débutant pectoraux triceps épaules DEBUTANT Banc,1,1
37,Pompes déclinées,FORCE,AVANCE,10,Banc,pectoraux supérieurs force avancé,AVANCE,Contrôler la descente ne pas arrondir le dos,pectoraux supérieurs épaules triceps,8,85,FORCE AVANCE pectoraux supérieurs force avancé pectoraux supérieurs épaules triceps AVANCE Banc,1,0
38,Planche frontale,FORCE,DEBUTANT,6,Tapis,core stabilité gainage isométrique,DEBUTANT,Ne pas lever les fesses respirer normalement,abdominaux transverse lombaires,4,35,FORCE DEBUTANT core stabilité gainage isométrique abdominaux transverse lombaires DEBUTANT Tapis,1,1
39,Mountain climbers,CARDIO,INTERMEDIAIRE,8,Aucun,cardio core coordination vitesse,INTERMEDIAIRE,Garder les hanches basses rythme régulier,abdominaux quadriceps cardio,7,95,CARDIO INTERMEDIAIRE cardio core coordination vitesse abdominaux quadriceps cardio INTERMEDIAIRE Aucun,0,2
40,Jumping jacks,CARDIO,DEBUTANT,8,Aucun,échauffement cardio coordination,DEBUTANT,Atterrir sur la pointe des pieds,corps complet cardio coordination,4,70,CARDIO DEBUTANT échauffement cardio coordination corps complet cardio coordination DEBUTANT Aucun,0,1
41,Box jumps,FORCE,AVANCE,10,Box pliométrique,puissance jambes explosivité détente verticale,AVANCE,Atterrir en douceur genoux fléchis,quadriceps fessiers mollets,9,120,FORCE AVANCE puissance jambes explosivité détente verticale quadriceps fessiers mollets AVANCE Box pliométrique,1,0
42,Kettlebell swing,FORCE,INTERMEDIAIRE,10,Kettlebell,hanches puissance postérieur explosivité,INTERMEDIAIRE,Pousser les hanches en arrière dos neutre,fessiers ischio-jambiers lombaires,7,100,FORCE INTERMEDIAIRE hanches puissance postérieur explosivité fessiers ischio-jambiers lombaires INTERMEDIAIRE Kettlebell,1,2
43,Deadlift roumain,FORCE,INTERMEDIAIRE,12,Haltères,ischio-jambiers fessiers force postérieur,INTERMEDIAIRE,Dos neutre descendre jusqu aux genoux,ischio-jambiers fessiers lombaires,7,90,FORCE INTERMEDIAIRE ischio-jambiers fessiers force postérieur ischio-jambiers fessiers lombaires INTERMEDIAIRE Haltères,1,2
44,Rowing haltère,FORCE,INTERMEDIAIRE,10,Haltères,dos tirage force unilatéral,INTERMEDIAIRE,Coude proche du corps dos neutre,dorsaux rhomboïdes biceps,6,75,FORCE INTERMEDIAIRE dos tirage force unilatéral dorsaux rhomboïdes biceps INTERMEDIAIRE Haltères,1,2
45,Développé militaire,FORCE,INTERMEDIAIRE,10,Haltères,épaules force poussée verticale,INTERMEDIAIRE,Ne pas cambrer le dos contrôler la descente,deltoïdes triceps trapèzes,7,80,FORCE INTERMEDIAIRE épaules force poussée verticale deltoïdes triceps trapèzes INTERMEDIAIRE Haltères,1,2
46,Curl biceps,FORCE,DEBUTANT,8,Haltères,biceps force isolation bras,DEBUTANT,Ne pas balancer le corps coudes fixes,biceps avant-bras,4,45,FORCE DEBUTANT biceps force isolation bras biceps avant-bras DEBUTANT Haltères,1,1
47,Extensions triceps,FORCE,DEBUTANT,8,Haltères,triceps force isolation bras,DEBUTANT,Coudes fixes ne pas descendre trop bas,triceps,4,40,FORCE DEBUTANT triceps force isolation bras triceps DEBUTANT Haltères,1,1
48,Crunchs abdominaux,FORCE,DEBUTANT,8,Tapis,abdominaux renforcement core,DEBUTANT,Ne pas tirer sur la nuque regard vers le plafond,abdominaux supérieurs,3,35,FORCE DEBUTANT abdominaux renforcement core abdominaux supérieurs DEBUTANT Tapis,1,1
49,Russian twist,FORCE,INTERMEDIAIRE,8,Médecine ball,obliques rotation core,INTERMEDIAIRE,Dos à 45 degrés pieds décollés du sol,obliques abdominaux,6,55,FORCE INTERMEDIAIRE obliques rotation core obliques abdominaux INTERMEDIAIRE Médecine ball,1,2
50,Superman dorsal,FORCE,DEBUTANT,8,Tapis,lombaires renforcement dos postérieur,DEBUTANT,Lever bras et jambes simultanément sans à-coups,lombaires fessiers trapèzes,3,30,FORCE DEBUTANT lombaires renforcement dos postérieur lombaires fessiers trapèzes DEBUTANT Tapis,1,1
51,Fartlek course,CARDIO,INTERMEDIAIRE,25,Aucun,endurance vitesse variation rythme,INTERMEDIAIRE,Écouter son corps varier les allures,jambes cardio poumons,7,200,CARDIO INTERMEDIAIRE endurance vitesse variation rythme jambes cardio poumons INTERMEDIAIRE Aucun,0,2
52,Course fractionnée 200m,CARDIO,AVANCE,20,Aucun,vitesse puissance anaérobie sprint,AVANCE,Échauffement complet récupération entre séries,quadriceps mollets cardio,9,210,CARDIO AVANCE vitesse puissance anaérobie sprint quadriceps mollets cardio AVANCE Aucun,0,0
53,Marche rapide,CARDIO,DEBUTANT,30,Aucun,endurance base cardio récupération active,DEBUTANT,Posture droite bras balancés,jambes cardio,3,120,CARDIO DEBUTANT endurance base cardio récupération active jambes cardio DEBUTANT Aucun,0,1
54,Vélo extérieur,CARDIO,INTERMEDIAIRE,30,Vélo,endurance jambes cardio plein air,INTERMEDIAIRE,Casque obligatoire respecter le code de la route,quadriceps mollets cardio,6,250,CARDIO INTERMEDIAIRE endurance jambes cardio plein air quadriceps mollets cardio INTERMEDIAIRE Vélo,0,2
55,Natation crawl,CARDIO,INTERMEDIAIRE,25,Piscine,endurance complet cardio aquatique,INTERMEDIAIRE,Respiration latérale régulière,corps complet cardio,7,280,CARDIO INTERMEDIAIRE endurance complet cardio aquatique corps complet cardio INTERMEDIAIRE Piscine,0,2
56,Rameur machine,CARDIO,INTERMEDIAIRE,15,Rameur,cardio complet dos jambes endurance,INTERMEDIAIRE,Pousser avec les jambes tirer avec le dos,dorsaux quadriceps cardio,7,180,CARDIO INTERMEDIAIRE cardio complet dos jambes endurance dorsaux quadriceps cardio INTERMEDIAIRE Rameur,0,2
57,Step-ups sur banc,CARDIO,DEBUTANT,10,Banc,jambes cardio coordination montée,DEBUTANT,Alterner les jambes garder le dos droit,quadriceps fessiers mollets,5,80,CARDIO DEBUTANT jambes cardio coordination montée quadriceps fessiers mollets DEBUTANT Banc,0,1
58,Escaliers rapides,CARDIO,INTERMEDIAIRE,10,Escaliers,cardio jambes puissance montée,INTERMEDIAIRE,Utiliser la rampe si besoin regarder devant,mollets quadriceps cardio,7,110,CARDIO INTERMEDIAIRE cardio jambes puissance montée mollets quadriceps cardio INTERMEDIAIRE Escaliers,0,2
59,Shuttle runs navettes,CARDIO,AVANCE,10,Cônes,agilité vitesse changement direction,AVANCE,Décélérer avant le virage protéger les genoux,quadriceps mollets agilité,9,130,CARDIO AVANCE agilité vitesse changement direction quadriceps mollets agilité AVANCE Cônes,0,0
60,Battle ropes,CARDIO,AVANCE,8,Cordes ondulatoires,cardio bras épaules puissance,AVANCE,Genoux fléchis dos neutre amplitude maximale,épaules bras cardio,9,120,CARDIO AVANCE cardio bras épaules puissance épaules bras cardio AVANCE Cordes ondulatoires,0,0
61,Étirements épaules,MOBILITE,DEBUTANT,8,Aucun,souplesse épaules prévention mobilité,DEBUTANT,Maintenir 20 secondes chaque position,épaules deltoïdes rotateurs,2,15,MOBILITE DEBUTANT souplesse épaules prévention mobilité épaules deltoïdes rotateurs DEBUTANT Aucun,2,1
62,Étirements dos chat-vache,MOBILITE,DEBUTANT,6,Tapis,mobilité colonne vertébrale dos,DEBUTANT,Synchroniser avec la respiration,colonne vertébrale lombaires,2,12,MOBILITE DEBUTANT mobilité colonne vertébrale dos colonne vertébrale lombaires DEBUTANT Tapis,2,1
63,Ouverture pectorale,MOBILITE,DEBUTANT,6,Aucun,souplesse pectoraux posture,DEBUTANT,Ne pas forcer maintenir la position,pectoraux épaules,2,10,MOBILITE DEBUTANT souplesse pectoraux posture pectoraux épaules DEBUTANT Aucun,2,1
64,Étirements mollets,MOBILITE,DEBUTANT,6,Aucun,souplesse mollets prévention crampes,DEBUTANT,Talon au sol jambe tendue,mollets soléaire,2,10,MOBILITE DEBUTANT souplesse mollets prévention crampes mollets soléaire DEBUTANT Aucun,2,1
65,Mobilité cheville,MOBILITE,DEBUTANT,8,Aucun,mobilité cheville prévention entorse,DEBUTANT,Cercles lents dans les deux sens,chevilles tibial péroniers,2,12,MOBILITE DEBUTANT mobilité cheville prévention entorse chevilles tibial péroniers DEBUTANT Aucun,2,1
66,Étirements adducteurs,MOBILITE,DEBUTANT,8,Tapis,souplesse adducteurs intérieur cuisses,DEBUTANT,Descendre progressivement ne pas forcer,adducteurs aine,2,15,MOBILITE DEBUTANT souplesse adducteurs intérieur cuisses adducteurs aine DEBUTANT Tapis,2,1
67,Mobilité poignets,MOBILITE,DEBUTANT,5,Aucun,mobilité poignets prévention tendinite,DEBUTANT,Mouvements doux et progressifs,poignets avant-bras,1,8,MOBILITE DEBUTANT mobilité poignets prévention tendinite poignets avant-bras DEBUTANT Aucun,2,1
68,Stretching global PNF,MOBILITE,INTERMEDIAIRE,15,Tapis,souplesse avancée PNF contraction relâchement,INTERMEDIAIRE,Contracter 5 secondes puis relâcher et étirer,corps complet flexibilité,4,35,MOBILITE INTERMEDIAIRE souplesse avancée PNF contraction relâchement corps complet flexibilité INTERMEDIAIRE Tapis,2,2
69,Rouleau lombaire,MOBILITE,DEBUTANT,8,Foam roller,détente lombaires récupération dos,DEBUTANT,Rouler lentement éviter la colonne directement,lombaires fascias,2,15,MOBILITE DEBUTANT détente lombaires récupération dos lombaires fascias DEBUTANT Foam roller,2,1
70,Étirements psoas,MOBILITE,INTERMEDIAIRE,8,Tapis,souplesse psoas fléchisseurs hanches,INTERMEDIAIRE,Bassin en rétroversion sentir l étirement devant,psoas fléchisseurs hanches,3,18,MOBILITE INTERMEDIAIRE souplesse psoas fléchisseurs hanches psoas fléchisseurs hanches INTERMEDIAIRE Tapis,2,2
71,Passe longue précision,TECHNIQUE,INTERMEDIAIRE,12,Ballon,passes longues précision vision jeu,INTERMEDIAIRE,Pied d appui stable viser la cible,jambes coordination vision,5,65,TECHNIQUE INTERMEDIAIRE passes longues précision vision jeu jambes coordination vision INTERMEDIAIRE Ballon,3,2
72,Tête plongeante,TECHNIQUE,AVANCE,10,Ballon,jeu de tête attaque finition aérienne,AVANCE,Protéger la nuque fermer les yeux au contact,cou trapèzes coordination,7,70,TECHNIQUE AVANCE jeu de tête attaque finition aérienne cou trapèzes coordination AVANCE Ballon,3,0
73,Dribble crochet intérieur,TECHNIQUE,INTERMEDIAIRE,10,Ballon plots,dribble feinte crochet technique,INTERMEDIAIRE,Accélérer après le crochet,jambes coordination pieds,5,60,TECHNIQUE INTERMEDIAIRE dribble feinte crochet technique jambes coordination pieds INTERMEDIAIRE Ballon plots,3,2
74,Contrôle poitrine,TECHNIQUE,DEBUTANT,8,Ballon,contrôle aérien poitrine technique,DEBUTANT,Amortir le ballon reculer légèrement,torse coordination,3,35,TECHNIQUE DEBUTANT contrôle aérien poitrine technique torse coordination DEBUTANT Ballon,3,1
75,Frappe de volée,TECHNIQUE,AVANCE,12,Ballon but,frappe volée technique finition,AVANCE,Timing du saut position du corps,quadriceps coordination,8,85,TECHNIQUE AVANCE frappe volée technique finition quadriceps coordination AVANCE Ballon but,3,0
76,Jeu de position rondo,TECHNIQUE,INTERMEDIAIRE,15,Ballon,conservation possession tactique collective,INTERMEDIAIRE,Déplacements constants communication,jambes coordination tactique,6,90,TECHNIQUE INTERMEDIAIRE conservation possession tactique collective jambes coordination tactique INTERMEDIAIRE Ballon,3,2
77,Exercice 1 contre 1,TECHNIQUE,INTERMEDIAIRE,10,Ballon cônes,duel attaque défense technique individuelle,INTERMEDIAIRE,Fair-play pas de contacts dangereux,jambes agilité coordination,6,80,TECHNIQUE INTERMEDIAIRE duel attaque défense technique individuelle jambes agilité coordination INTERMEDIAIRE Ballon cônes,3,2
78,Circuit de passes triangulaires,TECHNIQUE,DEBUTANT,12,Ballon cônes,passes triangulation mouvement collectif,DEBUTANT,Appel de balle après la passe,jambes coordination vision,4,55,TECHNIQUE DEBUTANT passes triangulation mouvement collectif jambes coordination vision DEBUTANT Ballon cônes,3,1
79,Tir en pivot,TECHNIQUE,AVANCE,10,Ballon but,pivot tir dos au but technique,AVANCE,Protéger le ballon pivoter rapidement,quadriceps coordination équilibre,7,75,TECHNIQUE AVANCE pivot tir dos au but technique quadriceps coordination équilibre AVANCE Ballon but,3,0
80,Exercice de remise,TECHNIQUE,DEBUTANT,10,Ballon,remise une touche jeu rapide,DEBUTANT,Orienter le corps avant de recevoir,pieds coordination vision,3,45,TECHNIQUE DEBUTANT remise une touche jeu rapide pieds coordination vision DEBUTANT Ballon,3,1
81,Pompes claquées,FORCE,AVANCE,8,Aucun,puissance explosive pectoraux pliométrie,AVANCE,Maîtriser les pompes classiques avant,pectoraux triceps épaules,9,95,FORCE AVANCE puissance explosive pectoraux pliométrie pectoraux triceps épaules AVANCE Aucun,1,0
82,Pistol squat,FORCE,AVANCE,10,Aucun,force unilatérale équilibre jambes,AVANCE,Descendre lentement contrôler le mouvement,quadriceps fessiers stabilisateurs,9,90,FORCE AVANCE force unilatérale équilibre jambes quadriceps fessiers stabilisateurs AVANCE Aucun,1,0
83,Tirage élastique,FORCE,DEBUTANT,10,Élastique,dos tirage renforcement débutant,DEBUTANT,Contrôler le retour de l élastique,dorsaux rhomboïdes biceps,4,50,FORCE DEBUTANT dos tirage renforcement débutant dorsaux rhomboïdes biceps DEBUTANT Élastique,1,1
84,Élévations latérales,FORCE,DEBUTANT,8,Haltères légers,épaules isolation deltoïdes latéraux,DEBUTANT,Ne pas monter au-dessus des épaules,deltoïdes latéraux trapèzes,4,40,FORCE DEBUTANT épaules isolation deltoïdes latéraux deltoïdes latéraux trapèzes DEBUTANT Haltères légers,1,1
85,Soulevé de terre,FORCE,AVANCE,12,Barre,force globale postérieur puissance,AVANCE,Dos neutre pousser le sol avec les pieds,ischio-jambiers fessiers dorsaux,9,130,FORCE AVANCE force globale postérieur puissance ischio-jambiers fessiers dorsaux AVANCE Barre,1,0
86,Développé couché,FORCE,INTERMEDIAIRE,12,Banc barre,pectoraux force poussée horizontale,INTERMEDIAIRE,Pieds au sol omoplates serrées,pectoraux triceps deltoïdes,7,95,FORCE INTERMEDIAIRE pectoraux force poussée horizontale pectoraux triceps deltoïdes INTERMEDIAIRE Banc barre,1,2
87,Pull-ups tractions,FORCE,AVANCE,10,Barre de traction,dos biceps force tirage vertical,AVANCE,Amplitude complète pas de kipping,dorsaux biceps avant-bras,8,85,FORCE AVANCE dos biceps force tirage vertical dorsaux biceps avant-bras AVANCE Barre de traction,1,0
88,Leg press machine,FORCE,INTERMEDIAIRE,12,Machine leg press,quadriceps fessiers force jambes,INTERMEDIAIRE,Ne pas verrouiller les genoux en haut,quadriceps fessiers ischio-jambiers,7,100,FORCE INTERMEDIAIRE quadriceps fessiers force jambes quadriceps fessiers ischio-jambiers INTERMEDIAIRE Machine leg press,1,2
89,Abdos vélo,FORCE,INTERMEDIAIRE,8,Tapis,abdominaux obliques rotation,INTERMEDIAIRE,Toucher coude genou opposé,abdominaux obliques,6,55,FORCE INTERMEDIAIRE abdominaux obliques rotation abdominaux obliques INTERMEDIAIRE Tapis,1,2
90,Farmer walk,FORCE,INTERMEDIAIRE,8,Haltères lourds,grip force fonctionnelle stabilité,INTERMEDIAIRE,Dos droit épaules en arrière pas rapides,avant-bras trapèzes core,6,70,FORCE INTERMEDIAIRE grip force fonctionnelle stabilité avant-bras trapèzes core INTERMEDIAIRE Haltères lourds,1,2
91,Sprint 100m,CARDIO,AVANCE,8,Aucun,vitesse maximale sprint puissance,AVANCE,Échauffement complet 15 minutes minimum,quadriceps ischio-jambiers mollets,10,100,CARDIO AVANCE vitesse maximale sprint puissance quadriceps ischio-jambiers mollets AVANCE Aucun,0,0
92,Marche nordique,CARDIO,DEBUTANT,30,Bâtons de marche,endurance douce cardio plein air,DEBUTANT,Posture droite bâtons synchronisés,corps complet cardio,3,140,CARDIO DEBUTANT endurance douce cardio plein air corps complet cardio DEBUTANT Bâtons de marche,0,1
93,Aquagym,CARDIO,DEBUTANT,30,Piscine,cardio doux articulations aquatique,DEBUTANT,Rester dans la zone de confort,corps complet cardio,3,130,CARDIO DEBUTANT cardio doux articulations aquatique corps complet cardio DEBUTANT Piscine,0,1
94,Zumba fitness,CARDIO,INTERMEDIAIRE,30,Aucun,cardio danse coordination rythme,INTERMEDIAIRE,Suivre le rythme adapter les mouvements,corps complet cardio coordination,6,250,CARDIO INTERMEDIAIRE cardio danse coordination rythme corps complet cardio coordination INTERMEDIAIRE Aucun,0,2
95,Kickboxing cardio,CARDIO,AVANCE,20,Sac de frappe,cardio combat puissance coordination,AVANCE,Protéger les poignets technique correcte,bras jambes cardio,9,230,CARDIO AVANCE cardio combat puissance coordination bras jambes cardio AVANCE Sac de frappe,0,0
96,Ski de fond,CARDIO,INTERMEDIAIRE,30,Skis,endurance complet cardio hiver,INTERMEDIAIRE,Technique de glisse équilibre,corps complet cardio,7,300,CARDIO INTERMEDIAIRE endurance complet cardio hiver corps complet cardio INTERMEDIAIRE Skis,0,2
97,Corde ondulatoire alternée,CARDIO,INTERMEDIAIRE,8,Cordes ondulatoires,cardio bras endurance musculaire,INTERMEDIAIRE,Genoux fléchis amplitude régulière,épaules bras cardio,7,100,CARDIO INTERMEDIAIRE cardio bras endurance musculaire épaules bras cardio INTERMEDIAIRE Cordes ondulatoires,0,2
